fake_share_hhi_t,fake_top1_share_ratio_t,global_disagreement,label,mean_fake_event_exposure_ratio,mean_fake_event_misbelief_ratio_among_exposed,platform_trust_mean,polarization_abs_mean,polarization_variance,run_id,timestep,total_likes,total_rewrite_shares,total_shares,users_believing_any_fake_ratio_among_exposed,users_exposed_to_any_fake_ratio
0.805256103956646,0.8931297709923665,0.03343397589285715,soft_off,0.46666666666666673,0.84573268921095,0.42882936110668074,0.1842000000000001,0.08059224888888895,exp_20260321_181711_exp_rq3_soft,6,1209.0,164.0,994.0,0.9473684210526315,0.95
0.7997947057207707,0.8897338403041825,0.034028007804232804,soft_off,0.47000000000000003,0.8483781918564527,0.42882936110668074,0.1848666666666668,0.08051731555555577,exp_20260321_181711_exp_rq3_soft,7,1404.0,212.0,1188.0,0.9473684210526315,0.95
0.7997947057207707,0.8897338403041825,0.0335662255760582,soft_off,0.47000000000000003,0.8483781918564527,0.42882936110668074,0.1848666666666668,0.08051731555555577,exp_20260321_181711_exp_rq3_soft,8,1603.0,260.0,1374.0,0.9473684210526315,0.95
0.7997947057207707,0.8897338403041825,0.034047017865410055,soft_off,0.47000000000000003,0.8483781918564527,0.42882936110668074,0.1848666666666668,0.08051731555555577,exp_20260321_181711_exp_rq3_soft,9,1801.0,299.0,1570.0,0.9473684210526315,0.95
0.7923875432525951,0.8823529411764706,0.007600425760582011,loose_on,0.11666666666666668,0.6865079365079364,0.48232936110668084,0.02683333333333334,0.0067116388888889015,exp_20260321_175126_exp_rq3_loose,0,118.0,11.0,74.0,0.8235294117647058,0.34
0.8604485582057673,0.9245283018867925,0.013126645998677246,loose_on,0.21333333333333335,0.7571225071225071,0.566529361106681,0.05633333333333334,0.017840999999999944,exp_20260321_175126_exp_rq3_loose,1,287.0,34.0,203.0,0.8035714285714286,0.56
0.8892733564013842,0.9411764705882353,0.018445862268518517,loose_on,0.26333333333333336,0.7415695415695417,0.6551748569802822,0.06683333333333329,0.020868749999999908,exp_20260321_175126_exp_rq3_loose,2,476.0,67.0,367.0,0.8115942028985508,0.69
0.8936718904979171,0.9436619718309859,0.022181595568783075,loose_on,0.2733333333333334,0.75,0.7418904299393496,0.06916666666666661,0.022028305555555572,exp_20260321_175126_exp_rq3_loose,3,663.0,101.0,544.0,0.8142857142857143,0.7
0.8936718904979171,0.9436619718309859,0.023727095932539684,loose_on,0.27666666666666667,0.7000000000000001,0.8130440063414319,0.06916666666666661,0.022028305555555572,exp_20260321_175126_exp_rq3_loose,4,855.0,140.0,734.0,0.8142857142857143,0.7
0.8936718904979171,0.9436619718309859,0.022825318088624345,loose_on,0.27666666666666667,0.7000000000000001,0.872838955908992,0.06916666666666661,0.022028305555555572,exp_20260321_175126_exp_rq3_loose,5,1051.0,182.0,926.0,0.8142857142857143,0.7
0.8936718904979171,0.9436619718309859,0.02042355069444445,loose_on,0.27666666666666667,0.7000000000000001,0.912391500797513,0.06916666666666661,0.022028305555555572,exp_20260321_175126_exp_rq3_loose,6,1246.0,219.0,1133.0,0.8142857142857143,0.7
0.8936718904979171,0.9436619718309859,0.020221887136243392,loose_on,0.27666666666666667,0.7000000000000001,0.9341476075687936,0.06916666666666661,0.022028305555555572,exp_20260321_175126_exp_rq3_loose,7,1442.0,260.0,1332.0,0.8142857142857143,0.7
0.8936718904979171,0.9436619718309859,0.01863206543022487,loose_on,0.27666666666666667,0.7000000000000001,0.9539526612144519,0.06916666666666661,0.022028305555555572,exp_20260321_175126_exp_rq3_loose,8,1635.0,306.0,1525.0,0.8142857142857143,0.7
0.8936718904979171,0.9436619718309859,0.018238545914021166,loose_on,0.27666666666666667,0.7000000000000001,0.9639164288212351,0.06916666666666661,0.022028305555555572,exp_20260321_175126_exp_rq3_loose,9,1829.0,355.0,1706.0,0.8142857142857143,0.7
0.909297052154195,0.9523809523809523,0.007620185185185184,loose_off,0.11666666666666668,0.6865079365079364,0.42882936110668074,0.026500000000000013,0.00649030555555552,exp_20260321_183118_exp_rq3_loose,0,118.0,14.0,77.0,0.8235294117647058,0.34
0.9299173553719009,0.9636363636363636,0.012539678406084656,loose_off,0.20000000000000004,0.7106837606837607,0.42882936110668074,0.054666666666666676,0.018294888888888784,exp_20260321_183118_exp_rq3_loose,1,286.0,35.0,202.0,0.8363636363636363,0.55
0.9529685005080564,0.9759036144578314,0.016622656250000003,loose_off,0.24333333333333337,0.7247863247863248,0.42882936110668074,0.06766666666666664,0.022163888888888813,exp_20260321_183118_exp_rq3_loose,2,475.0,68.0,380.0,0.8823529411764706,0.68
0.958781163434903,0.9789473684210527,0.02251436011904762,loose_off,0.25333333333333335,0.7435323383084578,0.42882936110668074,0.07163333333333331,0.024505709999999913,exp_20260321_183118_exp_rq3_loose,3,662.0,101.0,555.0,0.8571428571428571,0.7
0.958781163434903,0.9789473684210527,0.02360069150132275,loose_off,0.2566666666666667,0.7601990049751244,0.42882936110668074,0.07196666666666664,0.024497398888888907,exp_20260321_183118_exp_rq3_loose,4,857.0,140.0,751.0,0.8571428571428571,0.7
0.958781163434903,0.9789473684210527,0.022828719378306883,loose_off,0.2566666666666667,0.7601990049751244,0.42882936110668074,0.07196666666666664,0.024497398888888907,exp_20260321_183118_exp_rq3_loose,5,1054.0,176.0,950.0,0.8571428571428571,0.7
0.958781163434903,0.9789473684210527,0.02139024536210318,loose_off,0.2566666666666667,0.7601990049751244,0.42882936110668074,0.07196666666666664,0.024497398888888907,exp_20260321_183118_exp_rq3_loose,6,1246.0,219.0,1147.0,0.8571428571428571,0.7
0.958781163434903,0.9789473684210527,0.02064905069444445,loose_off,0.2566666666666667,0.7601990049751244,0.42882936110668074,0.07196666666666664,0.024497398888888907,exp_20260321_183118_exp_rq3_loose,7,1440.0,266.0,1350.0,0.8571428571428571,0.7
0.958781163434903,0.9789473684210527,0.019106595690476194,loose_off,0.2566666666666667,0.7601990049751244,0.42882936110668074,0.07196666666666664,0.024497398888888907,exp_20260321_183118_exp_rq3_loose,8,1635.0,311.0,1546.0,0.8571428571428571,0.7
0.958781163434903,0.9789473684210527,0.019002347446296305,loose_off,0.2566666666666667,0.7601990049751244,0.42882936110668074,0.07196666666666664,0.024497398888888907,exp_20260321_183118_exp_rq3_loose,9,1839.0,359.0,1736.0,0.8571428571428571,0.7
